suicide_rate_rank,country,Region,year,sex,age,population,suicides_per_100k,next_stat_100k,nextstat_per_100k_diff,annual_gdp($),generation,Happiness Score,gdp_per_capita,life_expectancy,Freedom,trust_factor,dystopia_residual
4,Australia,Australia and New Zealand,2015,male,55-74 years,2337430,19.55,17.46,2.09,"1,349,034,029,453",Boomers,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
5,Australia,Australia and New Zealand,2015,male,15-24 years,1608990,17.46,9.18,8.280000000000001,"1,349,034,029,453",Millenials,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
6,Australia,Australia and New Zealand,2015,female,35-54 years,3203643,9.18,7.21,1.9699999999999998,"1,349,034,029,453",Generation X,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
7,Australia,Australia and New Zealand,2015,female,15-24 years,1526305,7.21,6.81,0.40000000000000036,"1,349,034,029,453",Millenials,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
8,Australia,Australia and New Zealand,2015,female,25-34 years,1747715,6.81,6.3,0.5099999999999998,"1,349,034,029,453",Millenials,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
9,Australia,Australia and New Zealand,2015,female,55-74 years,2411343,6.3,5.88,0.41999999999999993,"1,349,034,029,453",Boomers,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
10,Australia,Australia and New Zealand,2015,female,75+ years,884347,5.88,0.56,5.32,"1,349,034,029,453",Silent,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
11,Australia,Australia and New Zealand,2015,female,5-14 years,1428159,0.56,0.4,0.16000000000000003,"1,349,034,029,453",Generation Z,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
12,Australia,Australia and New Zealand,2015,male,5-14 years,1507502,0.4,0,0.4,"1,349,034,029,453",Generation Z,7.284,1.33358,0.93156,0.65124,0.35637,2.26646
1,Austria,Western Europe,2015,male,75+ years,290329,73.71,68.9,4.809999999999988,"382,065,930,308",Silent,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
2,Austria,Western Europe,2016,male,75+ years,307692,68.9,32.13,36.77,"390,799,991,147",Silent,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
3,Austria,Western Europe,2015,male,55-74 years,915115,32.13,31.22,0.9100000000000037,"382,065,930,308",Boomers,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
4,Austria,Western Europe,2016,male,55-74 years,928992,31.22,24.46,6.759999999999998,"390,799,991,147",Boomers,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
5,Austria,Western Europe,2015,male,35-54 years,1279822,24.46,20.29,4.170000000000002,"382,065,930,308",Generation X,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
6,Austria,Western Europe,2016,male,35-54 years,1281202,20.29,15.16,5.129999999999999,"390,799,991,147",Generation X,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
7,Austria,Western Europe,2015,female,75+ years,461676,15.16,14.19,0.9700000000000006,"382,065,930,308",Silent,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
8,Austria,Western Europe,2016,male,25-34 years,605922,14.19,13.2,0.9900000000000002,"390,799,991,147",Millenials,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
9,Austria,Western Europe,2015,male,25-34 years,590968,13.2,12.75,0.4499999999999993,"382,065,930,308",Millenials,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
10,Austria,Western Europe,2016,female,75+ years,478267,12.75,11.74,1.0099999999999998,"390,799,991,147",Silent,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
11,Austria,Western Europe,2015,male,15-24 years,519646,11.74,11.03,0.7100000000000009,"382,065,930,308",Millenials,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
12,Austria,Western Europe,2016,male,15-24 years,525977,11.03,10.01,1.0199999999999996,"390,799,991,147",Millenials,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
13,Austria,Western Europe,2015,female,55-74 years,998854,10.01,9.81,0.1999999999999993,"382,065,930,308",Boomers,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
14,Austria,Western Europe,2016,female,55-74 years,1009403,9.81,7.46,2.3500000000000005,"390,799,991,147",Boomers,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
15,Austria,Western Europe,2016,female,35-54 years,1273241,7.46,6.21,1.25,"390,799,991,147",Generation X,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
16,Austria,Western Europe,2015,female,35-54 years,1273034,6.21,4.51,1.7000000000000002,"382,065,930,308",Generation X,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
17,Austria,Western Europe,2016,female,15-24 years,488020,4.51,3.87,0.6399999999999997,"390,799,991,147",Millenials,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
18,Austria,Western Europe,2015,female,15-24 years,490742,3.87,3.64,0.22999999999999998,"382,065,930,308",Millenials,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
19,Austria,Western Europe,2015,female,25-34 years,576661,3.64,3.07,0.5700000000000003,"382,065,930,308",Millenials,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
20,Austria,Western Europe,2016,female,25-34 years,585913,3.07,0.25,2.82,"390,799,991,147",Millenials,7.119,1.45038,0.80565,0.54355,0.21348,2.69343
21,Austria,Western Europe,2015,female,5-14 years,400831,0.25,0.24,0.010000000000000009,"382,065,930,308",Generation Z,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
22,Austria,Western Europe,2015,male,5-14 years,421708,0.24,0,0.24,"382,065,930,308",Generation Z,7.2,1.33723,0.89042,0.62433,0.18676,2.5332
1,Belgium,Western Europe,2015,male,75+ years,392775,45.06,33.74,11.32,"455,039,563,133",Silent,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
2,Belgium,Western Europe,2015,male,35-54 years,1567729,33.74,29.41,4.330000000000002,"455,039,563,133",Generation X,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
3,Belgium,Western Europe,2015,male,55-74 years,1200170,29.41,22.09,7.32,"455,039,563,133",Boomers,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
4,Belgium,Western Europe,2015,male,25-34 years,728873,22.09,14.4,7.6899999999999995,"455,039,563,133",Millenials,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
5,Belgium,Western Europe,2015,female,35-54 years,1534727,14.4,14.12,0.28000000000000114,"455,039,563,133",Generation X,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
6,Belgium,Western Europe,2015,female,75+ years,616201,14.12,13.94,0.17999999999999972,"455,039,563,133",Silent,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
7,Belgium,Western Europe,2015,female,55-74 years,1262327,13.94,13.84,0.09999999999999964,"455,039,563,133",Boomers,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
8,Belgium,Western Europe,2015,male,15-24 years,671971,13.84,6.2,7.64,"455,039,563,133",Millenials,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
9,Belgium,Western Europe,2015,female,25-34 years,726357,6.2,3.23,2.97,"455,039,563,133",Millenials,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
10,Belgium,Western Europe,2015,female,15-24 years,649587,3.23,0.32,2.91,"455,039,563,133",Millenials,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
11,Belgium,Western Europe,2015,female,5-14 years,622189,0.32,0.31,0.010000000000000009,"455,039,563,133",Generation Z,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
12,Belgium,Western Europe,2015,male,5-14 years,651450,0.31,0,0.31,"455,039,563,133",Generation Z,6.937,1.30782,0.89667,0.5845,0.2254,2.41484
1,Brazil,Latin America and Caribbean,2015,male,75+ years,2448560,19.19,13.04,6.150000000000002,"1,802,214,373,741",Silent,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
2,Brazil,Latin America and Caribbean,2015,male,55-74 years,12987357,13.04,12.0,1.0399999999999991,"1,802,214,373,741",Boomers,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
3,Brazil,Latin America and Caribbean,2015,male,35-54 years,26989063,12.0,10.76,1.2400000000000002,"1,802,214,373,741",Generation X,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
4,Brazil,Latin America and Caribbean,2015,male,25-34 years,17625976,10.76,7.91,2.8499999999999996,"1,802,214,373,741",Millenials,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
5,Brazil,Latin America and Caribbean,2015,male,15-24 years,17569045,7.91,3.2,4.71,"1,802,214,373,741",Millenials,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
6,Brazil,Latin America and Caribbean,2015,female,35-54 years,28461855,3.2,3.17,0.03000000000000025,"1,802,214,373,741",Generation X,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
7,Brazil,Latin America and Caribbean,2015,female,55-74 years,15122216,3.17,2.66,0.5099999999999998,"1,802,214,373,741",Boomers,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
8,Brazil,Latin America and Caribbean,2015,female,25-34 years,17546090,2.66,2.34,0.3200000000000003,"1,802,214,373,741",Millenials,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
9,Brazil,Latin America and Caribbean,2015,female,75+ years,3802086,2.34,2.33,0.009999999999999787,"1,802,214,373,741",Silent,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
10,Brazil,Latin America and Caribbean,2015,female,15-24 years,17047218,2.33,0.49,1.84,"1,802,214,373,741",Millenials,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
11,Brazil,Latin America and Caribbean,2015,male,5-14 years,16057040,0.49,0.36,0.13,"1,802,214,373,741",Generation Z,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
12,Brazil,Latin America and Caribbean,2015,female,5-14 years,15430579,0.36,0,0.36,"1,802,214,373,741",Generation Z,6.983,0.98124,0.69702,0.49049,0.17521,3.26001
1,Chile,Latin America and Caribbean,2015,male,75+ years,282308,41.44,21.59,19.849999999999998,"243,999,477,738",Silent,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
2,Chile,Latin America and Caribbean,2015,male,55-74 years,1394272,21.59,21.14,0.4499999999999993,"243,999,477,738",Boomers,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
3,Chile,Latin America and Caribbean,2015,male,35-54 years,2426719,21.14,21.04,0.10000000000000142,"243,999,477,738",Generation X,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
4,Chile,Latin America and Caribbean,2015,male,25-34 years,1406921,21.04,15.99,5.049999999999999,"243,999,477,738",Millenials,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
5,Chile,Latin America and Caribbean,2015,male,15-24 years,1400822,15.99,5.59,10.4,"243,999,477,738",Millenials,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
6,Chile,Latin America and Caribbean,2015,female,35-54 years,2431495,5.59,5.05,0.54,"243,999,477,738",Generation X,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
7,Chile,Latin America and Caribbean,2015,female,55-74 years,1544550,5.05,4.85,0.20000000000000018,"243,999,477,738",Boomers,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
8,Chile,Latin America and Caribbean,2015,female,25-34 years,1359598,4.85,4.76,0.08999999999999986,"243,999,477,738",Millenials,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
9,Chile,Latin America and Caribbean,2015,female,15-24 years,1343941,4.76,4.46,0.2999999999999998,"243,999,477,738",Millenials,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
10,Chile,Latin America and Caribbean,2015,female,75+ years,470618,4.46,1.06,3.4,"243,999,477,738",Silent,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
11,Chile,Latin America and Caribbean,2015,female,5-14 years,1228869,1.06,0.71,0.3500000000000001,"243,999,477,738",Generation Z,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
12,Chile,Latin America and Caribbean,2015,male,5-14 years,1275612,0.71,0,0.71,"243,999,477,738",Generation Z,6.67,1.10715,0.85857,0.44132,0.12869,2.67585
1,Colombia,Latin America and Caribbean,2015,male,75+ years,502228,16.33,11.27,5.059999999999999,"291,519,591,533",Silent,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
2,Colombia,Latin America and Caribbean,2015,male,15-24 years,4197599,11.27,10.83,0.4399999999999995,"291,519,591,533",Millenials,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
3,Colombia,Latin America and Caribbean,2015,male,55-74 years,2926656,10.83,9.49,1.3399999999999999,"291,519,591,533",Boomers,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
4,Colombia,Latin America and Caribbean,2015,male,25-34 years,3994717,9.49,9.12,0.370000000000001,"291,519,591,533",Millenials,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
5,Colombia,Latin America and Caribbean,2015,male,35-54 years,6143478,9.12,4.32,4.799999999999999,"291,519,591,533",Generation X,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
6,Colombia,Latin America and Caribbean,2015,female,15-24 years,4070390,4.32,2.75,1.5700000000000003,"291,519,591,533",Millenials,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
7,Colombia,Latin America and Caribbean,2015,female,25-34 years,4031995,2.75,1.46,1.29,"291,519,591,533",Millenials,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
8,Colombia,Latin America and Caribbean,2015,female,35-54 years,6566323,1.46,1.4,0.06000000000000005,"291,519,591,533",Generation X,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
9,Colombia,Latin America and Caribbean,2015,female,75+ years,715044,1.4,1.34,0.05999999999999983,"291,519,591,533",Silent,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
10,Colombia,Latin America and Caribbean,2015,female,55-74 years,3367078,1.34,1.13,0.2100000000000002,"291,519,591,533",Boomers,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
11,Colombia,Latin America and Caribbean,2015,female,5-14 years,3904896,1.13,0.96,0.16999999999999993,"291,519,591,533",Generation Z,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
12,Colombia,Latin America and Caribbean,2015,male,5-14 years,4070023,0.96,0,0.96,"291,519,591,533",Generation Z,6.477,0.91861,0.69077,0.53466,0.0512,2.85737
1,Croatia,Central and Eastern Europe,2015,male,75+ years,131896,78.85,77.31,1.539999999999992,"49,425,513,611",Silent,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
2,Croatia,Central and Eastern Europe,2016,male,75+ years,134519,77.31,43.43,33.88,"51,338,524,831",Silent,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
3,Croatia,Central and Eastern Europe,2015,male,55-74 years,476580,43.43,38.94,4.490000000000002,"49,425,513,611",Boomers,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
4,Croatia,Central and Eastern Europe,2016,male,55-74 years,480263,38.94,26.94,11.999999999999996,"51,338,524,831",Boomers,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
5,Croatia,Central and Eastern Europe,2015,male,35-54 years,575410,26.94,25.57,1.370000000000001,"49,425,513,611",Generation X,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
6,Croatia,Central and Eastern Europe,2016,male,35-54 years,571003,25.57,23.01,2.5599999999999987,"51,338,524,831",Generation X,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
7,Croatia,Central and Eastern Europe,2015,female,75+ years,243369,23.01,17.49,5.520000000000003,"49,425,513,611",Silent,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
8,Croatia,Central and Eastern Europe,2016,male,25-34 years,274466,17.49,16.26,1.2299999999999969,"51,338,524,831",Millenials,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
9,Croatia,Central and Eastern Europe,2016,female,75+ years,246002,16.26,14.63,1.6300000000000008,"51,338,524,831",Silent,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
10,Croatia,Central and Eastern Europe,2015,male,25-34 years,280212,14.63,13.73,0.9000000000000004,"49,425,513,611",Millenials,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
11,Croatia,Central and Eastern Europe,2015,male,15-24 years,247562,13.73,13.66,0.07000000000000028,"49,425,513,611",Millenials,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
12,Croatia,Central and Eastern Europe,2015,female,55-74 years,548940,13.66,12.51,1.1500000000000004,"49,425,513,611",Boomers,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
13,Croatia,Central and Eastern Europe,2016,female,55-74 years,551758,12.51,12.38,0.129999999999999,"51,338,524,831",Boomers,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
14,Croatia,Central and Eastern Europe,2016,male,15-24 years,242287,12.38,8.85,3.530000000000001,"51,338,524,831",Millenials,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
15,Croatia,Central and Eastern Europe,2015,female,35-54 years,576262,8.85,8.24,0.6099999999999994,"49,425,513,611",Generation X,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
16,Croatia,Central and Eastern Europe,2016,female,35-54 years,570380,8.24,2.6,5.640000000000001,"51,338,524,831",Generation X,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
17,Croatia,Central and Eastern Europe,2016,female,15-24 years,231038,2.6,2.58,0.020000000000000018,"51,338,524,831",Millenials,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
18,Croatia,Central and Eastern Europe,2015,female,25-34 years,271005,2.58,2.54,0.040000000000000036,"49,425,513,611",Millenials,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
19,Croatia,Central and Eastern Europe,2015,female,15-24 years,236301,2.54,2.26,0.28000000000000025,"49,425,513,611",Millenials,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
20,Croatia,Central and Eastern Europe,2016,female,25-34 years,265327,2.26,0.99,1.2699999999999998,"51,338,524,831",Millenials,5.488,1.18649,0.70524,0.23907,0.04002,2.52462
21,Croatia,Central and Eastern Europe,2015,female,5-14 years,201507,0.99,0.47,0.52,"49,425,513,611",Generation Z,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
22,Croatia,Central and Eastern Europe,2015,male,5-14 years,212625,0.47,0,0.47,"49,425,513,611",Generation Z,5.759,1.08254,0.78805,0.25883,0.0243,2.75414
1,Cyprus,Western Europe,2016,male,35-54 years,106925,14.03,10.76,3.2699999999999996,"20,153,871,681",Generation X,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
2,Cyprus,Western Europe,2015,male,55-74 years,83627,10.76,10.37,0.39000000000000057,"19,676,167,240",Boomers,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
3,Cyprus,Western Europe,2015,male,25-34 years,67482,10.37,9.4,0.9699999999999989,"19,676,167,240",Millenials,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
4,Cyprus,Western Europe,2015,male,35-54 years,106371,9.4,8.61,0.7900000000000009,"19,676,167,240",Generation X,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
5,Cyprus,Western Europe,2016,male,15-24 years,58051,8.61,8.58,0.02999999999999936,"20,153,871,681",Millenials,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
6,Cyprus,Western Europe,2015,male,15-24 years,58308,8.58,8.33,0.25,"19,676,167,240",Millenials,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
7,Cyprus,Western Europe,2016,male,75+ years,24004,8.33,8.19,0.14000000000000057,"20,153,871,681",Silent,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
8,Cyprus,Western Europe,2016,male,55-74 years,85486,8.19,3.41,4.779999999999999,"20,153,871,681",Boomers,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
9,Cyprus,Western Europe,2015,female,55-74 years,87902,3.41,2.93,0.48,"19,676,167,240",Boomers,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
10,Cyprus,Western Europe,2016,male,25-34 years,68167,2.93,2.83,0.10000000000000009,"20,153,871,681",Millenials,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
11,Cyprus,Western Europe,2015,female,25-34 years,70765,2.83,2.55,0.28000000000000025,"19,676,167,240",Millenials,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
12,Cyprus,Western Europe,2016,female,35-54 years,117819,2.55,2.52,0.029999999999999805,"20,153,871,681",Generation X,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
13,Cyprus,Western Europe,2015,female,35-54 years,118975,2.52,1.72,0.8,"19,676,167,240",Generation X,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
14,Cyprus,Western Europe,2015,female,15-24 years,58123,1.72,1.4,0.32000000000000006,"19,676,167,240",Millenials,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
15,Cyprus,Western Europe,2016,female,25-34 years,71307,1.4,1.11,0.2899999999999998,"20,153,871,681",Millenials,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
16,Cyprus,Western Europe,2016,female,55-74 years,90294,1.11,0.0,1.11,"20,153,871,681",Boomers,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
17,Cyprus,Western Europe,2015,female,5-14 years,44693,0.0,0,0.0,"19,676,167,240",Generation Z,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
